m_c dominance
"
41.36%
"
"
2.43%
"
"
"
"
1.26%
"
"
1.25%
"
"
0.55%
"
"
1.89%
"
"
2.50%
"
"
1.98%
"
"
0.50%
"
"
0.51%
"
"
3.23%
"
"
1.16%
"
"
0.49%
"
"
0.48%
"
"
"
"
0.49%
"
"
"
"
0.33%
"
"
"
"
2.34%
"
"
"
"
0.30%
"
"
0.29%
"
"
0.66%
"
"
0.40%
"
"
0.27%
"
"
"
"
0.21%
"
"
0.23%
"
"
0.27%
"
"
0.20%
"
"
"
"
0.20%
"
"
"
"
0.19%
"
"
0.26%
"
"
0.17%
"
"
"
"
"
"
0.17%
"
"
0.15%
"
"
0.14%
"
"
0.15%
"
"
0.15%
"
"
0.15%
"
"
0.14%
"
"
"
"
"
"
0.12%
"
"
"
"
"
"
"
"
0.11%
"
"
0.14%
"
"
0.11%
"
"
0.09%
"
"
"
"
0.10%
"
"
0.09%
"
"
"
"
0.09%
"
"
"
"
0.09%
"
"
0.09%
"
"
0.10%
"
"
0.09%
"
"
"
"
"
"
0.08%
"
"
0.08%
"
"
0.08%
"
"
0.08%
"
"
0.09%
"
"
"
"
0.07%
"
"
"
"
"
"
"
"
0.07%
"
"
0.07%
"
"
0.07%
"
"
0.07%
"
"
"
"
0.06%
"
"
"
"
"
"
"
"
0.05%
"
"
"
"
"
"
0.05%
"
"
0.05%
"
"
0.05%
"
"
0.04%
"
"
"
"
0.04%
"
"
0.04%
"
"
"
"
0.04%
"
"
0.04%
"
"
"
"
0.03%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
"
"
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
"
"
0.00%
"
"
"
"
0.00%
"
"
0.00%
"
"
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
 0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
"
"
0.00%
"
"
"
"
0.00%
"
"
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
"
0.00%
"
