,"
#
","
Coin
","
Price
","
1h
","
24h
","
7d
","
24h Volume
","
Mkt Cap
"
"


","
340
","






LGCY Network
 
LGCY
 
LGCY



","
$0.014761757581
","
0.9%
","
-5.4%
","
53.2%
","
$824,309
","
$181,652,173
"
"


","
342
","






Lido DAO
 
LDO
 
LDO



","
$3.18
","
-0.3%
","
-7.5%
","
-12.4%
","
$2,999,426
","
$178,904,494
"
"


","
343
","






Aave [OLD]
 
LEND
 
LEND



","
$3.38
","
-0.3%
","
-0.9%
","
7.5%
","
$905.93
","
$176,717,892
"
"


","
344
","






Aragon
 
ANT
 
ANT



","
$4.64
","
0.2%
","
2.3%
","
-1.7%
","
$12,236,164
","
$176,223,953
"
"


","
345
","






STP Network
 
STPT
 
STPT



","
$0.133138
","
0.6%
","
-3.3%
","
-17.0%
","
$31,220,273
","
$175,511,999
"
"


","
341
","






RedFOX Labs
 
RFOX
 
RFOX



","
$0.128231
","
-7.4%
","
-14.5%
","
91.7%
","
$35,439,455
","
$174,626,364
"
"


","
346
","






Shiden Network
 
SDN
 
SDN



","
$3.13
","
0.8%
","
-1.9%
","
-19.1%
","
$2,958,838
","
$174,090,415
"
"


","
347
","






Automata
 
ATA
 
ATA



","
$1.01
","
0.0%
","
0.0%
","
-8.6%
","
$27,034,365
","
$173,845,825
"
"


","
348
","






Sun Token
 
SUN
 
SUN



","
$0.034403516088
","
-0.7%
","
-2.7%
","
0.2%
","
$407,959,708
","
$172,284,173
"
"


","
349
","






Decentral Games
 
DG
 
DG



","
$481.79
","
-0.1%
","
-1.6%
","
60.9%
","
$5,783,464
","
$171,327,621
"
"


","
350
","






Utrust
 
UTK
 
UTK



","
$0.378903
","
-1.5%
","
-0.9%
","
-10.0%
","
$10,597,500
","
$170,693,636
"
"


","
351
","






Augur
 
REP
 
REP



","
$24.72
","
-0.7%
","
3.5%
","
-0.5%
","
$62,439,153
","
$169,740,715
"
"


","
352
","






Star Atlas DAO
 
POLIS
 
POLIS



","
$7.89
","
0.8%
","
-6.2%
","
13.3%
","
$26,130,980
","
$169,371,095
"
"


","
353
","






Taboo Token
 
TABOO
 
TABOO



","
$0.017167091222
","
-1.1%
","
15.6%
","
39.9%
","
$779,759
","
$169,010,338
"
"


","
354
","






CRYPTO20
 
C20
 
C20



","
$5.07
","
0.2%
","
-3.4%
","
-1.4%
","
$22,047
","
$168,589,128
"
"


","
355
","






Strong
 
STRONG
 
STRONG



","
$1,008.49
","
-0.2%
","
-3.5%
","
13.8%
","
$15,581,214
","
$168,259,947
"
"


","
356
","






Strike
 
STRK
 
STRK



","
$54.82
","
0.2%
","
2.1%
","
-1.1%
","
$866,987
","
$165,089,399
"
"


","
357
","






Aavegotchi
 
GHST
 
GHST



","
$2.37
","
-0.3%
","
-3.4%
","
27.7%
","
$127,832,728
","
$164,375,901
"
"


","
358
","






Render Token
 
RNDR
 
RNDR



","
$1.05
","
0.6%
","
8.5%
","
8.8%
","
$5,654,172
","
$162,603,938
"
"


","
359
","






Power Ledger
 
POWR
 
POWR



","
$0.373487
","
-0.1%
","
-0.8%
","
2.2%
","
$23,235,559
","
$160,528,705
"
"


","
360
","






Somnium Space CUBEs
 
CUBE
 
CUBE



","
$12.71
","
-0.4%
","
-11.8%
","
373.7%
","
$15,024,935
","
$160,091,188
"
